@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8,9,10,11}
@attribute Skewness {1,2,3,4,5}
@attribute Curtosis {1,2,3,4,5}
@attribute Entropy {1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
3,2,2,5,-1
3,2,3,7,-1
3,1,5,5,-1
7,3,1,5,-1
3,3,3,5,-1
3,3,2,7,-1
3,3,3,5,-1
1,3,2,1,-1
3,3,1,3,-1
3,3,1,1,-1
3,3,2,3,-1
3,3,1,5,-1
3,2,3,5,-1
3,3,1,5,-1
3,3,2,3,-1
7,3,1,5,-1
3,3,1,1,-1
1,4,2,1,-1
3,1,5,1,-1
3,3,3,5,-1
3,3,3,5,-1
3,3,2,5,-1
3,3,3,7,-1
1,2,4,3,-1
3,1,4,5,-1
3,3,3,7,-1
3,3,2,5,-1
3,3,3,5,-1
1,3,2,5,-1
3,3,1,1,-1
3,3,2,9,-1
3,3,2,5,-1
3,1,4,5,-1
3,1,5,1,-1
3,3,2,3,-1
3,3,1,5,-1
3,3,2,1,-1
3,1,4,5,-1
3,1,5,1,-1
7,3,1,7,-1
3,4,1,1,-1
3,3,1,1,-1
3,1,4,5,-1
1,4,2,1,-1
3,2,3,5,-1
3,3,3,5,-1
3,3,2,5,-1
3,1,4,5,-1
1,1,5,3,-1
7,4,1,1,-1
7,3,1,1,-1
3,1,4,9,-1
3,3,1,5,-1
3,1,4,5,-1
3,1,4,5,-1
3,3,1,1,-1
3,3,1,5,-1
3,1,4,5,-1
3,3,2,1,-1
3,3,3,7,-1
3,1,4,7,-1
3,4,3,1,1
8,5,1,1,1
3,4,1,1,1
3,5,3,1,1
8,3,3,5,1
7,4,1,1,1
8,5,1,1,1
7,4,3,5,1
8,3,3,7,1
8,3,2,7,1
7,2,4,5,1
3,4,2,1,1
8,5,1,1,1
8,4,2,5,1
8,4,1,5,1
9,3,2,9,1
3,4,1,1,1
8,2,4,5,1
8,4,1,5,1
8,3,3,12,1
7,3,3,7,1
8,4,2,3,1
7,3,3,5,1
8,3,3,9,1
3,4,2,5,1
7,3,3,5,1
11,4,1,5,1
8,3,3,5,1
3,4,1,1,1
8,3,2,7,1
8,5,1,1,1
8,2,3,9,1
7,3,3,7,1
8,4,1,1,1
8,2,3,5,1
8,4,1,1,1
8,3,3,9,1
8,2,3,5,1
7,4,1,1,1
8,3,3,12,1
3,4,1,1,1
3,3,4,7,1
8,2,3,5,1
3,3,4,5,1
3,5,3,1,1
8,5,1,1,1
8,3,3,12,1
8,3,3,5,1
8,2,3,9,1
9,4,1,1,1
3,4,2,3,1
8,4,1,5,1
8,2,3,3,1
9,5,1,1,1
8,4,1,5,1
8,4,2,7,1
7,3,3,5,1
8,2,3,7,1
3,4,3,1,1
8,3,3,12,1
8,4,1,5,1
8,3,2,5,1
8,4,1,5,1
8,4,1,1,1
8,4,1,1,1
8,4,1,5,1
8,5,1,1,1
7,4,1,1,1
3,3,4,7,1
3,4,1,1,1
7,4,3,5,1
8,3,3,9,1
3,2,3,4,1
8,4,2,1,1
8,3,2,7,1
3,5,2,1,1
